date,volume
2026-02-28,137
2026-03-01,276
2026-03-02,382
2026-03-03,342
2026-03-04,275
2026-03-05,297
2026-03-06,237
2026-03-07,167
2026-03-08,150
2026-03-09,196
2026-03-10,267
2026-03-11,251
2026-03-12,249
2026-03-13,226
2026-03-14,153
2026-03-15,165
2026-03-16,229
2026-03-17,207
2026-03-18,255
2026-03-19,227
2026-03-20,196
2026-03-21,127
2026-03-22,106
2026-03-23,180
2026-03-24,195
2026-03-25,173
2026-03-26,214
2026-03-27,171
2026-03-28,83
2026-03-29,113
2026-03-30,182
2026-03-31,163
2026-04-01,194
2026-04-02,212
2026-04-03,138
2026-04-04,77
2026-04-05,88
2026-04-06,111
2026-04-07,188
2026-04-08,299
2026-04-09,222
2026-04-10,195
2026-04-11,106
2026-04-12,107
2026-04-13,139
2026-04-14,165
2026-04-15,194
2026-04-16,189
2026-04-17,127
2026-04-18,97
2026-04-19,58
2026-04-20,134
2026-04-21,144
2026-04-22,121
2026-04-23,136
2026-04-24,137
2026-04-25,48
2026-04-26,72
2026-04-27,95
2026-04-28,139
2026-04-29,150
2026-04-30,125
2026-05-01,114
2026-05-02,47
2026-05-03,42
2026-05-04,91
2026-05-05,163
2026-05-06,147
2026-05-07,122
2026-05-08,96
2026-05-09,92
2026-05-10,65
2026-05-11,70
2026-05-12,119
2026-05-13,92
2026-05-14,81
2026-05-15,75
2026-05-16,35
2026-05-17,53
2026-05-18,73
2026-05-19,98
2026-05-20,114
2026-05-21,48
2026-05-22,96
2026-05-23,44
2026-05-24,67
2026-05-25,69
2026-05-26,79
2026-05-27,102
2026-05-28,97
2026-05-29,98
2026-05-30,40
2026-05-31,30
2026-06-01,45
2026-06-02,118
2026-06-03,82
2026-06-04,93
2026-06-05,53
2026-06-06,48
2026-06-07,45
2026-06-08,107
2026-06-09,74
2026-06-10,85
2026-06-11,97
2026-06-12,91
2026-06-13,56
2026-06-14,32
2026-06-15,183
2026-06-16,167
2026-06-17,99
2026-06-18,145
2026-06-19,83
2026-06-20,45
2026-06-21,73
2026-06-22,97
2026-06-23,83
2026-06-24,69
2026-06-25,95
2026-06-26,62
2026-06-27,41
2026-06-28,61
2026-06-29,60
2026-06-30,53
2026-07-01,44
2026-07-02,20
2026-07-03,51
2026-07-04,11
2026-07-05,30
2026-07-06,41
2026-07-07,80
2026-07-08,110
2026-07-09,88
2026-07-10,34
2026-07-11,23
2026-07-12,54
2026-07-13,75
2026-07-14,85
2026-07-15,57
2026-07-16,80
2026-07-17,59
2026-07-18,40
2026-07-19,49
2026-07-20,59
2026-07-21,91
2026-07-22,129
2026-07-23,103
2026-07-24,84
2026-07-25,20
2026-07-26,41
2026-07-27,63
2026-07-28,55
2026-07-29,80
2026-07-30,76
2026-07-31,75
2026-08-01,35
2026-08-02,35
2026-08-03,65
2026-08-04,68
2026-08-05,58
2026-08-06,47
2026-08-07,41
2026-08-08,28
2026-08-09,28
2026-08-10,33
2026-08-11,30
2026-08-12,45
2026-08-13,36
2026-08-14,42
2026-08-15,24
2026-08-16,26
2026-08-17,68
2026-08-18,41
2026-08-19,29
2026-08-20,33
2026-08-21,20
2026-08-22,18
2026-08-23,28
2026-08-24,37
2026-08-25,80
2026-08-26,53
2026-08-27,31
2026-08-28,40
2026-08-29,23
2026-08-30,16
2026-08-31,56
2026-09-01,44
2026-09-02,81
2026-09-03,75
2026-09-04,74
2026-09-05,32
2026-09-06,43
2026-09-07,23
2026-09-08,65
2026-09-09,77
2026-09-10,62
2026-09-11,63
2026-09-12,34
2026-09-13,37
2026-09-14,55
2026-09-15,52
2026-09-16,70
2026-09-17,44
2026-09-18,52
2026-09-19,30
2026-09-20,42
2026-09-21,70
